注文番号,約定日,建玉番号,通貨ペア,取引,数量,決済価格(建単価),換算レート,手数料,実現スワップ,実現損益,合計損益
509629205,2022/03/25 13:21:26,60000573208387,米ドル-円,決済売,5,121.240,-,0,105,0,105
509571481,2022/03/24 13:45:23,10000580964208,米ドル-円,新規買,5,121.240,-,0,0,,0
509571084,2022/03/24 13:42:48,60000572999359,米ドル-円,決済売,5,121.242,-,0,590,124950,125540
507821811,2022/03/17 13:17:06,10000580183399,米ドル-円,新規買,5,118.743,-,0,0,,0
509571073,2022/03/24 13:42:40,60000572999358,米ドル-円,決済売,5,121.242,-,0,945,162300,163245
507190625,2022/03/15 17:03:09,10000579905209,米ドル-円,新規買,5,117.996,-,0,0,,0
509571013,2022/03/24 13:42:11,60000572999347,米ドル-円,決済売,5,121.242,-,0,945,163400,164345
507189374,2022/03/15 16:59:15,10000579904658,米ドル-円,新規買,5,117.974,-,0,0,,0
509570987,2022/03/24 13:42:04,60000572999339,米ドル-円,決済売,5,121.244,-,0,1000,185650,186650
506739440,2022/03/14 8:56:15,10000579700216,米ドル-円,新規買,5,117.531,-,0,0,,0
509570933,2022/03/24 13:41:32,60000572999319,米ドル-円,決済買,5,121.245,-,0,-25120,-826450,-851570
509227873,2022/03/23 15:07:25,60000572838727,米ドル-円,決済買,5,121.098,-,0,-24775,-819100,-843875
433652301,2021/02/12 5:44:51,10000547132457,米ドル-円,新規売,10,104.716,-,0,0,,0
509228066,2022/03/23 15:08:26,60000572838817,米ドル-円,決済売,10,121.112,-,0,1590,503100,504690
509227514,2022/03/23 15:06:06,60000572838555,米ドル-円,決済売,20,121.109,-,0,3180,1005600,1008780
506264711,2022/03/10 23:00:00,10000579491978,米ドル-円,新規買,30,116.081,-,0,0,,0
509228007,2022/03/23 15:08:02,60000572838793,米ドル-円,決済売,15,121.113,-,0,2385,755550,757935
509226616,2022/03/23 15:00:45,60000572838071,米ドル-円,決済売,15,121.068,-,0,2385,748800,751185
507816228,2022/03/17 12:49:49,60000572180970,米ドル-円,決済売,5,118.670,-,0,490,129700,130190
507037626,2022/03/15 16:12:01,60000571876885,米ドル-円,決済売,5,118.000,-,0,135,96200,96335
506262944,2022/03/10 22:56:54,10000579491209,米ドル-円,新規買,40,116.076,-,0,0,,0
509227443,2022/03/23 15:05:47,60000572838453,米ドル-円,決済買,5,121.093,-,0,-24275,-790700,-814975
509226522,2022/03/23 15:00:20,60000572838022,米ドル-円,決済買,5,121.060,-,0,-24275,-789050,-813325
435965685,2021/02/24 8:51:41,10000548171627,米ドル-円,新規売,10,105.279,-,0,0,,0
507149283,2022/03/15 16:05:43,60000571873676,米ドル-円,決済売,5,118.216,-,0,0,0,0
507037470,2022/03/15 6:32:01,10000579835090,米ドル-円,新規買,5,118.216,-,0,0,,0
506062305,2022/03/10 17:12:04,60000571405904,米ドル-円,決済売,30,115.874,-,0,630,-8700,-8070
505878882,2022/03/09 20:04:26,10000579323012,米ドル-円,新規買,30,115.903,-,0,0,,0
506062305,2022/03/10 17:12:04,60000571405903,米ドル-円,決済売,10,115.874,-,0,210,9000,9210
505826985,2022/03/09 17:44:47,10000579299881,米ドル-円,新規買,10,115.784,-,0,0,,0
506062305,2022/03/10 17:12:04,60000571405902,米ドル-円,決済売,30,115.874,-,0,630,3900,4530
505814563,2022/03/09 17:09:22,10000579294002,米ドル-円,新規買,30,115.861,-,0,0,,0
505746427,2022/03/09 11:55:37,60000571230789,米ドル-円,決済売,30,115.830,-,0,0,600,600
505736120,2022/03/09 9:39:16,10000579259120,米ドル-円,新規買,30,115.828,-,0,0,,0
505746427,2022/03/09 11:55:37,60000571230787,米ドル-円,決済売,40,115.830,-,0,0,6400,6400
505735927,2022/03/09 9:38:32,10000579259061,米ドル-円,新規買,40,115.814,-,0,0,,0
505656105,2022/03/09 0:10:36,60000571181200,米ドル-円,決済売,70,115.465,-,0,0,-64400,-64400
505652020,2022/03/09 0:01:14,10000579223205,米ドル-円,新規買,70,115.557,-,0,0,,0
505647369,2022/03/08 23:47:49,60000571176894,米ドル-円,決済売,70,115.549,-,0,0,-130900,-130900
505594044,2022/03/08 21:29:55,10000579198074,米ドル-円,新規買,70,115.736,-,0,0,,0
505378393,2022/03/08 5:54:02,60000571056293,米ドル-円,決済売,40,115.276,-,0,0,104000,104000
505052183,2022/03/07 10:13:10,10000578960050,米ドル-円,新規買,40,115.016,-,0,0,,0
505328876,2022/03/08 0:12:33,60000571031590,米ドル-円,決済売,20,115.319,-,0,0,48600,48600
505135725,2022/03/07 16:22:17,10000578997044,米ドル-円,新規買,20,115.076,-,0,0,,0
505328759,2022/03/08 0:12:11,60000571031470,米ドル-円,決済売,10,115.314,-,0,0,3900,3900
505274426,2022/03/07 22:16:40,10000579057992,米ドル-円,新規買,10,115.275,-,0,0,,0
505270257,2022/03/07 22:05:30,60000571004616,米ドル-円,決済売,10,115.225,-,0,0,11800,11800
505192663,2022/03/07 19:23:53,10000579022337,米ドル-円,新規買,10,115.107,-,0,0,,0
505192563,2022/03/07 19:23:31,60000570969207,米ドル-円,決済売,10,115.104,-,0,0,16200,16200
505088507,2022/03/07 12:11:17,10000578976279,米ドル-円,新規買,10,114.942,-,0,0,,0
504976051,2022/03/05 5:51:33,60000570885146,米ドル-円,決済売,70,114.885,-,0,0,21000,21000
504974577,2022/03/05 3:06:43,10000578930444,米ドル-円,新規買,70,114.855,-,0,0,,0
504418858,2022/03/03 16:47:15,60000570626028,米ドル-円,決済売,70,115.685,-,0,0,21700,21700
504378625,2022/03/03 12:42:29,10000578657994,米ドル-円,新規買,70,115.654,-,0,0,,0
504341533,2022/03/03 8:53:28,60000570590854,米ドル-円,決済売,70,115.497,-,0,840,185500,186340
504119264,2022/03/02 18:05:46,10000578547437,米ドル-円,新規買,70,115.232,-,0,0,,0
504117566,2022/03/02 18:00:58,60000570483303,米ドル-円,決済売,70,115.168,-,0,0,6300,6300
504076775,2022/03/02 15:41:05,10000578528763,米ドル-円,新規買,70,115.159,-,0,0,,0
504074016,2022/03/02 15:26:03,60000570462768,米ドル-円,決済売,50,115.091,-,0,0,16000,16000
504069867,2022/03/02 15:00:52,10000578525639,米ドル-円,新規買,50,115.059,-,0,0,,0
504066941,2022/03/02 15:00:23,60000570460809,米ドル-円,決済売,70,115.057,-,0,0,1400,1400
504050970,2022/03/02 12:32:30,10000578517755,米ドル-円,新規買,70,115.055,-,0,0,,0
504035488,2022/03/02 11:02:18,60000570445946,米ドル-円,決済売,70,115.009,-,0,490,43400,43890
503911756,2022/03/01 22:50:16,10000578456690,米ドル-円,新規買,70,114.947,-,0,0,,0
503908803,2022/03/01 22:41:45,60000570388592,米ドル-円,決済売,30,114.901,-,0,0,2400,2400
503902374,2022/03/01 22:30:26,10000578452872,米ドル-円,新規買,30,114.893,-,0,0,,0
503908783,2022/03/01 22:41:40,60000570388586,米ドル-円,決済売,40,114.902,-,0,0,15200,15200
503900584,2022/03/01 22:27:45,10000578452064,米ドル-円,新規買,40,114.864,-,0,0,,0
